Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Standard VL (4805021) 00000 (  5.4%),"Standard VL (CSD, AL)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,2430,<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Rockyford VL (4805022) 00000 (  2.9%),"Rockyford VL (CSD, AL)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,2400,<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Drumheller T (4805026) 00000 (  4.8%),"Drumheller T (CSD, AL)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Starland County MD (4805031) 00000 (  9.4%),"Starland County MD (CSD, AL)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,1935,<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Delia VL (4805034) 00929 ( 20.0%),"Delia VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Munson VL (4805036) 00909 (  0.0%),"Munson VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Morrin VL (4805038) 01929 ( 21.4%),"Morrin VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Kneehill County MD (4805041) 00000 (  6.4%),"Kneehill County MD (CSD, AL)",91000,18200,45500,72800,109200,"<= $18,200","$18,200 - $45,500","$45,500 - $72,800","$72,800 - $109,200",">= $109,201",2275,455,1137.5,1820,2730,<= $455,"$455 - $1,138","$1,138 - $1,820","$1,820 - $2,730",">= $2,731"
  Carbon VL (4805042) 00000 (  5.4%),"Carbon VL (CSD, AL)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Acme VL (4805044) 00000 (  0.0%),"Acme VL (CSD, AL)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,2175,<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Linden VL (4805046) 00000 (  2.7%),"Linden VL (CSD, AL)",66000,13200,33000,52800,79200,"<= $13,200","$13,200 - $33,000","$33,000 - $52,800","$52,800 - $79,200",">= $79,201",1650,330,825,1320,1980,<= $330,$330 - $825,"$825 - $1,320","$1,320 - $1,980",">= $1,981"
  Three Hills T (4805048) 00000 (  3.4%),"Three Hills T (CSD, AL)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,2160,<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  Trochu T (4805049) 00000 (  7.7%),"Trochu T (CSD, AL)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,2400,<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Foothills County MD (4806001) 00000 (  4.4%),"Foothills County MD (CSD, AL)",137000,27400,68500,109600,164400,"<= $27,400","$27,400 - $68,500","$68,500 - $109,600","$109,600 - $164,400",">= $164,401",3425,685,1712.5,2740,4110,<= $685,"$685 - $1,713","$1,713 - $2,740","$2,740 - $4,110",">= $4,111"
  High River T (4806006) 00000 (  2.7%),"High River T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Longview VL (4806008) 00000 (  0.8%),"Longview VL (CSD, AL)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,2070,<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  Turner Valley T (4806009) 00000 (  4.9%),"Turner Valley T (CSD, AL)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Black Diamond T (4806011) 00000 (  6.4%),"Black Diamond T (CSD, AL)",76000,15200,38000,60800,91200,"<= $15,200","$15,200 - $38,000","$38,000 - $60,800","$60,800 - $91,200",">= $91,201",1900,380,950,1520,2280,<= $380,$380 - $950,"$950 - $1,520","$1,520 - $2,280",">= $2,281"
  Okotoks T (4806012) 00000 (  3.1%),"Okotoks T (CSD, AL)",117000,23400,58500,93600,140400,"<= $23,400","$23,400 - $58,500","$58,500 - $93,600","$93,600 - $140,400",">= $140,401",2925,585,1462.5,2340,3510,<= $585,"$585 - $1,463","$1,463 - $2,340","$2,340 - $3,510",">= $3,511"
  Rocky View County MD (4806014) 00000 (  4.4%),"Rocky View County MD (CSD, AL)",153000,30600,76500,122400,183600,"<= $30,600","$30,600 - $76,500","$76,500 - $122,400","$122,400 - $183,600",">= $183,601",3825,765,1912.5,3060,4590,<= $765,"$765 - $1,913","$1,913 - $3,060","$3,060 - $4,590",">= $4,591"
  Calgary CY (4806016) 00000 (  3.8%),"Calgary CY (CSD, AL)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,2970,<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Chestermere CY (4806017) 00000 (  2.2%),"Chestermere CY (CSD, AL)",136000,27200,68000,108800,163200,"<= $27,200","$27,200 - $68,000","$68,000 - $108,800","$108,800 - $163,200",">= $163,201",3400,680,1700,2720,4080,<= $680,"$680 - $1,700","$1,700 - $2,720","$2,720 - $4,080",">= $4,081"
  Cochrane T (4806019) 00000 (  3.5%),"Cochrane T (CSD, AL)",113000,22600,56500,90400,135600,"<= $22,600","$22,600 - $56,500","$56,500 - $90,400","$90,400 - $135,600",">= $135,601",2825,565,1412.5,2260,3390,<= $565,"$565 - $1,413","$1,413 - $2,260","$2,260 - $3,390",">= $3,391"
  Airdrie CY (4806021) 00000 (  1.8%),"Airdrie CY (CSD, AL)",110000,22000,55000,88000,132000,"<= $22,000","$22,000 - $55,000","$55,000 - $88,000","$88,000 - $132,000",">= $132,001",2750,550,1375,2200,3300,<= $550,"$550 - $1,375","$1,375 - $2,200","$2,200 - $3,300",">= $3,301"
  Irricana T (4806022) 00000 (  3.4%),"Irricana T (CSD, AL)",95000,19000,47500,76000,114000,"<= $19,000","$19,000 - $47,500","$47,500 - $76,000","$76,000 - $114,000",">= $114,001",2375,475,1187.5,1900,2850,<= $475,"$475 - $1,188","$1,188 - $1,900","$1,900 - $2,850",">= $2,851"
  Beiseker VL (4806024) 00000 (  5.6%),"Beiseker VL (CSD, AL)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,2310,<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Crossfield T (4806026) 00000 (  3.7%),"Crossfield T (CSD, AL)",105000,21000,52500,84000,126000,"<= $21,000","$21,000 - $52,500","$52,500 - $84,000","$84,000 - $126,000",">= $126,001",2625,525,1312.5,2100,3150,<= $525,"$525 - $1,313","$1,313 - $2,100","$2,100 - $3,150",">= $3,151"
  Mountain View County MD (4806028) 00000 (  8.2%),"Mountain View County MD (CSD, AL)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,2820,<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Carstairs T (4806029) 00000 (  4.9%),"Carstairs T (CSD, AL)",101000,20200,50500,80800,121200,"<= $20,200","$20,200 - $50,500","$50,500 - $80,800","$80,800 - $121,200",">= $121,201",2525,505,1262.5,2020,3030,<= $505,"$505 - $1,263","$1,263 - $2,020","$2,020 - $3,030",">= $3,031"
  Cremona VL (4806031) 00000 (  4.3%),"Cremona VL (CSD, AL)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Didsbury T (4806032) 00010 ( 10.7%),"Didsbury T (CSD, AL)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,2340,<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Olds T (4806034) 00000 (  6.4%),"Olds T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Sundre T (4806036) 00000 (  6.0%),"Sundre T (CSD, AL)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,2310,<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Provost No. 52 MD (4807001) 00000 (  5.7%),"Provost No. 52 MD (CSD, AL)",75500,15100,37750,60400,90600,"<= $15,100","$15,100 - $37,750","$37,750 - $60,400","$60,400 - $90,600",">= $90,601",1887.5,377.5,943.75,1510,2265,<= $378,$378 - $944,"$944 - $1,510","$1,510 - $2,265",">= $2,266"
  Provost T (4807002) 00000 (  2.1%),"Provost T (CSD, AL)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,2430,<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Czar VL (4807004) 00909 (  4.8%),"Czar VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Hughenden VL (4807006) 00909 (  0.0%),"Hughenden VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Amisk VL (4807008) 00909 (  9.1%),"Amisk VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Paintearth County No. 18 MD (4807011) 00000 (  9.0%),"Paintearth County No. 18 MD (CSD, AL)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,2880,<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Coronation T (4807012) 00000 (  6.1%),"Coronation T (CSD, AL)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,2055,<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Castor T (4807014) 00000 (  1.0%),"Castor T (CSD, AL)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,1800,<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Halkirk VL (4807016) 00919 ( 10.0%),"Halkirk VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Stettler County No. 6 MD (4807019) 00010 ( 14.9%),"Stettler County No. 6 MD (CSD, AL)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Big Valley VL (4807021) 01030 ( 36.6%),"Big Valley VL (CSD, AL)",50800,10160,25400,40640,60960,"<= $10,160","$10,160 - $25,400","$25,400 - $40,640","$40,640 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$254 - $635,"$635 - $1,016","$1,016 - $1,524",">= $1,525"
  Stettler T (4807026) 00000 (  7.5%),"Stettler T (CSD, AL)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,2295,<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  White Sands SV (4807027) 03939 ( 39.1%),"White Sands SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Rochon Sands SV (4807028) 02929 ( 26.3%),"Rochon Sands SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Donalda VL (4807029) 00909 (  3.7%),"Donalda VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Flagstaff County MD (4807031) 00000 (  6.3%),"Flagstaff County MD (CSD, AL)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,2760,<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Alliance VL (4807032) 00909 (  0.0%),"Alliance VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Forestburg VL (4807036) 00010 ( 12.3%),"Forestburg VL (CSD, AL)",67500,13500,33750,54000,81000,"<= $13,500","$13,500 - $33,750","$33,750 - $54,000","$54,000 - $81,000",">= $81,001",1687.5,337.5,843.75,1350,2025,<= $338,$338 - $844,"$844 - $1,350","$1,350 - $2,025",">= $2,026"
  Heisler VL (4807038) 00909 (  7.2%),"Heisler VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Daysland T (4807039) 00000 (  4.7%),"Daysland T (CSD, AL)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Killam T (4807042) 00000 (  4.3%),"Killam T (CSD, AL)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,2640,<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Sedgewick T (4807044) 00000 (  4.7%),"Sedgewick T (CSD, AL)",80000,16000,40000,64000,96000,"<= $16,000","$16,000 - $40,000","$40,000 - $64,000","$64,000 - $96,000",">= $96,001",2000,400,1000,1600,2400,<= $400,"$400 - $1,000","$1,000 - $1,600","$1,600 - $2,400",">= $2,401"
  Lougheed VL (4807046) 00909 (  0.0%),"Lougheed VL (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Hardisty T (4807048) 00000 (  6.9%),"Hardisty T (CSD, AL)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,2700,<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Wainwright No. 61 MD (4807049) 00000 (  5.4%),"Wainwright No. 61 MD (CSD, AL)",110000,22000,55000,88000,132000,"<= $22,000","$22,000 - $55,000","$55,000 - $88,000","$88,000 - $132,000",">= $132,001",2750,550,1375,2200,3300,<= $550,"$550 - $1,375","$1,375 - $2,200","$2,200 - $3,300",">= $3,301"
  Chauvin VL (4807051) 00000 (  8.1%),"Chauvin VL (CSD, AL)",61200,12240,30600,48960,73440,"<= $12,240","$12,240 - $30,600","$30,600 - $48,960","$48,960 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$306 - $765,"$765 - $1,224","$1,224 - $1,836",">= $1,837"
  Edgerton VL (4807052) 00000 (  5.6%),"Edgerton VL (CSD, AL)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,2040,<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Wainwright T (4807054) 00000 (  2.8%),"Wainwright T (CSD, AL)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,2550,<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Irma VL (4807056) 00000 (  5.9%),"Irma VL (CSD, AL)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,2310,<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Red Deer County MD (4808001) 00000 (  9.0%),"Red Deer County MD (CSD, AL)",97000,19400,48500,77600,116400,"<= $19,400","$19,400 - $48,500","$48,500 - $77,600","$77,600 - $116,400",">= $116,401",2425,485,1212.5,1940,2910,<= $485,"$485 - $1,213","$1,213 - $1,940","$1,940 - $2,910",">= $2,911"
  Elnora VL (4808002) 00000 (  2.9%),"Elnora VL (CSD, AL)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Delburne VL (4808004) 01020 ( 20.6%),"Delburne VL (CSD, AL)",77500,15500,38750,62000,93000,"<= $15,500","$15,500 - $38,750","$38,750 - $62,000","$62,000 - $93,000",">= $93,001",1937.5,387.5,968.75,1550,2325,<= $388,$388 - $969,"$969 - $1,550","$1,550 - $2,325",">= $2,326"
  Jarvis Bay SV (4808005) 00919 ( 17.4%),"Jarvis Bay SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Bowden T (4808006) 00000 (  9.7%),"Bowden T (CSD, AL)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Innisfail T (4808008) 00000 (  4.1%),"Innisfail T (CSD, AL)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,2295,<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Penhold T (4808009) 00000 (  5.3%),"Penhold T (CSD, AL)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,2970,<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Red Deer CY (4808011) 00000 (  4.3%),"Red Deer CY (CSD, AL)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,2550,<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Sylvan Lake T (4808012) 00000 (  4.7%),"Sylvan Lake T (CSD, AL)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1162.5,1860,2790,<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
  Norglenwold SV (4808013) 00000 (  6.1%),"Norglenwold SV (CSD, AL)",98000,19600,49000,78400,117600,"<= $19,600","$19,600 - $49,000","$49,000 - $78,400","$78,400 - $117,600",">= $117,601",2450,490,1225,1960,2940,<= $490,"$490 - $1,225","$1,225 - $1,960","$1,960 - $2,940",">= $2,941"
  Lacombe County MD (4808022) 00000 (  9.7%),"Lacombe County MD (CSD, AL)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Birchcliff SV (4808023) 02939 ( 39.1%),"Birchcliff SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Eckville T (4808024) 00010 ( 19.4%),"Eckville T (CSD, AL)",70000,14000,35000,56000,84000,"<= $14,000","$14,000 - $35,000","$35,000 - $56,000","$56,000 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$350 - $875,"$875 - $1,400","$1,400 - $2,100",">= $2,101"
  Half Moon Bay SV (4808025) 01909 (  0.0%),"Half Moon Bay SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Bentley T (4808026) 00000 (  5.4%),"Bentley T (CSD, AL)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,1935,<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Sunbreaker Cove SV (4808027) 03959 ( 53.3%),"Sunbreaker Cove SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Gull Lake SV (4808028) 02909 (  4.2%),"Gull Lake SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Blackfalds T (4808029) 00000 (  7.3%),"Blackfalds T (CSD, AL)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1287.5,2060,3090,<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
  Lacombe CY (4808031) 00000 (  4.2%),"Lacombe CY (CSD, AL)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,2670,<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Clive VL (4808032) 00000 (  4.0%),"Clive VL (CSD, AL)",96000,19200,48000,76800,115200,"<= $19,200","$19,200 - $48,000","$48,000 - $76,800","$76,800 - $115,200",">= $115,201",2400,480,1200,1920,2880,<= $480,"$480 - $1,200","$1,200 - $1,920","$1,920 - $2,880",">= $2,881"
  Alix VL (4808034) 00000 (  6.0%),"Alix VL (CSD, AL)",74000,14800,37000,59200,88800,"<= $14,800","$14,800 - $37,000","$37,000 - $59,200","$59,200 - $88,800",">= $88,801",1850,370,925,1480,2220,<= $370,$370 - $925,"$925 - $1,480","$1,480 - $2,220",">= $2,221"
  Ponoka County MD (4808038) 00000 (  6.9%),"Ponoka County MD (CSD, AL)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,2820,<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
  Ponoka T (4808039) 00000 (  7.5%),"Ponoka T (CSD, AL)",77000,15400,38500,61600,92400,"<= $15,400","$15,400 - $38,500","$38,500 - $61,600","$61,600 - $92,400",">= $92,401",1925,385,962.5,1540,2310,<= $385,$385 - $963,"$963 - $1,540","$1,540 - $2,310",">= $2,311"
  Parkland Beach SV (4808042) 02929 ( 21.1%),"Parkland Beach SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Rimbey T (4808044) 00010 ( 10.7%),"Rimbey T (CSD, AL)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,1728,<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Clearwater County MD (4809002) 00010 ( 14.3%),"Clearwater County MD (CSD, AL)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,2610,<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Burnstick Lake SV (4809005) 09999 (  7.7%),"Burnstick Lake SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Caroline VL (4809010) 00010 ( 12.1%),"Caroline VL (CSD, AL)",51200,10240,25600,40960,61440,"<= $10,240","$10,240 - $25,600","$25,600 - $40,960","$40,960 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$256 - $640,"$640 - $1,024","$1,024 - $1,536",">= $1,537"
  Rocky Mountain House T (4809015) 00000 (  6.6%),"Rocky Mountain House T (CSD, AL)",82000,16400,41000,65600,98400,"<= $16,400","$16,400 - $41,000","$41,000 - $65,600","$65,600 - $98,400",">= $98,401",2050,410,1025,1640,2460,<= $410,"$410 - $1,025","$1,025 - $1,640","$1,640 - $2,460",">= $2,461"
  Camrose County MD (4810001) 00000 (  6.3%),"Camrose County MD (CSD, AL)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,2700,<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Bashaw T (4810002) 00010 ( 10.0%),"Bashaw T (CSD, AL)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,1608,<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
