,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  1 person HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  2 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  3 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  4 persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH,  5 or more persons HH
,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI,Total - Private households by Household income as a proportion to Area Median Household Income (AMHI)_1,  Households with household income 20% or under of area median household income (AMHI),  Households with household income 21% to 50% of AMHI,  Households with household income 51% to 80% of AMHI,  Households with household income 81% to 120% of AMHI,  Households with household income 121% and over of AMHI
Geography,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status,  Households examined for core housing need status
  North Rustico T (1102046) 00000 (  1.3%),115,0,50,35,0,15,140,0,0,30,35,70,40,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0
  Union Road RM (1102050) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Breadalbane RM (1102051) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Brackley RM (1102055) 00000 (  0.0%),60,0,25,0,0,0,65,0,0,30,35,0,45,0,0,0,0,35,45,0,0,0,0,35,0,0,0,0,0,0
  Mount Stewart RM (1102059) 00909 (  3.6%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  York RM (1102061) 00000 (  0.0%),35,0,25,0,0,0,55,0,0,0,25,20,15,0,0,0,0,0,20,0,0,0,0,15,20,0,0,0,0,0
"  East River, Part 1 FD (1102064) 00000 (  5.4%)",145,0,80,50,20,0,370,0,25,90,125,125,160,0,0,0,40,105,125,0,0,25,45,50,60,0,0,0,20,30
"  Kensington, Part 2 FD (1102066) 00000 (  0.0%)",40,0,15,0,0,0,95,0,20,25,25,20,35,0,0,0,20,10,35,0,0,0,0,25,0,0,0,0,0,0
  North Shore RM (1102067) 00000 (  6.6%),210,30,85,65,20,0,360,0,35,80,125,125,165,0,0,20,20,110,170,0,0,20,55,90,60,0,0,0,25,30
  West River RM (1102068) 00000 (  4.7%),235,0,115,75,25,20,540,0,75,140,160,170,230,0,0,45,60,105,205,0,0,15,45,135,105,0,0,0,20,65
  Winsloe North FD (1102069) 00000 (  3.2%),15,0,0,0,0,0,50,0,0,0,20,20,15,0,0,0,0,0,20,0,0,0,0,0,15,0,0,0,0,0
  Warren Grove RM (1102070) 00000 (  2.7%),20,0,0,0,0,0,40,0,0,0,25,0,40,0,0,0,0,30,25,0,0,0,0,25,0,0,0,0,0,0
  New London FD (1102071) 00010 ( 10.4%),150,25,50,35,30,0,305,0,30,50,130,90,65,0,0,0,25,35,75,0,0,0,0,60,30,0,0,0,0,20
  North River FD (1102072) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  North Shore FD (1102073) 00000 (  3.8%),125,0,70,40,0,0,190,0,0,40,75,60,75,0,0,0,15,45,60,0,0,0,0,35,80,0,0,0,0,60
  Charlottetown CY (1102075) 00000 (  2.7%),5900,190,2390,1720,1005,585,5715,30,345,975,1580,2780,2415,0,95,315,545,1445,1750,0,25,130,230,1360,960,0,0,65,155,730
  Stratford T (1102080) 00000 (  1.8%),935,20,430,290,150,50,1525,20,160,400,405,550,670,0,60,115,160,330,705,0,20,35,130,515,325,0,0,0,70,250
  Cornwall T (1102085) 00000 (  3.1%),605,25,285,155,105,35,970,0,90,200,340,345,405,0,25,50,110,230,395,0,20,65,45,265,205,0,0,0,30,165
  Borden FD (1103002) 00000 (  5.3%),50,0,20,20,0,0,150,0,30,25,50,40,20,0,0,0,0,0,35,0,0,0,0,30,30,0,0,0,0,0
  Kinkora FD (1103003) 00000 (  6.1%),110,0,70,35,0,0,235,0,0,40,110,75,70,0,0,0,30,35,45,0,0,0,15,30,30,0,0,0,0,30
"  Crapaud, Part 2 FD (1103004) 00000 (  6.8%)",50,0,25,15,0,0,85,0,0,25,25,25,30,0,0,0,0,20,40,0,0,0,0,25,0,0,0,0,0,0
  Borden-Carleton T (1103005) 00000 (  1.2%),95,0,45,30,0,0,115,0,0,25,30,50,60,0,0,0,0,40,40,0,0,0,0,25,40,0,0,0,0,25
  Malpeque Bay RM (1103007) 00000 (  8.4%),130,0,80,30,0,0,205,0,0,40,75,75,80,0,0,0,20,50,65,0,0,0,0,50,25,0,0,0,0,0
  Kinkora RM (1103008) 00000 (  2.5%),30,0,20,0,0,0,85,0,0,20,20,35,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
  Kensington T (1103014) 00000 (  2.3%),320,0,135,70,70,35,315,0,0,75,95,135,105,0,0,0,30,65,70,0,0,0,0,70,40,0,0,0,0,35
  Bedeque and Area RM (1103015) 00000 (  3.4%),30,0,0,0,20,0,35,0,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Sherbrooke RM (1103018) 00909 (  4.8%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Wellington FD (1103020) 00000 (  2.6%),185,0,85,65,30,0,330,0,45,55,130,105,115,0,0,0,30,60,95,0,0,0,0,85,35,0,0,0,0,35
  Tyne Valley FD (1103021) 00000 (  3.1%),40,0,20,0,0,0,90,0,0,30,20,30,35,0,0,0,0,0,55,0,0,0,0,30,45,0,0,0,0,30
  St. Nicholas RM (1103022) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Linkletter RM (1103023) 00000 (  0.0%),25,0,0,0,0,0,70,0,0,0,30,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Miscouche RM (1103024) 00000 (  1.1%),105,0,45,40,0,0,135,0,0,20,55,45,45,0,0,15,0,0,65,0,0,0,0,55,35,0,0,0,10,25
  Summerside CY (1103025) 00000 (  1.4%),2320,90,1050,665,380,135,2600,0,115,505,805,1170,940,0,35,115,185,605,730,0,0,35,105,590,380,0,0,0,65,300
  Abram-Village RM (1103027) 00000 (  0.0%),60,0,0,30,0,0,70,0,0,25,25,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
  Wellington RM (1103029) 00000 (  2.0%),80,0,60,0,0,0,85,0,0,30,25,30,35,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
  Tyne Valley RM (1103033) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Lot 11 and Area RM (1103039) 00000 (  3.3%),75,0,35,35,0,0,90,0,0,15,30,35,45,0,0,0,0,35,15,0,0,0,0,0,0,0,0,0,0,0
  Miscouche FD (1103040) 00000 (  6.7%),60,0,25,20,0,0,160,0,20,40,40,50,55,0,0,0,20,25,25,0,0,0,0,15,35,0,0,0,0,25
  O'Leary T (1103042) 00000 (  1.1%),170,0,100,30,20,20,105,0,0,20,30,50,40,0,0,0,0,20,30,0,0,0,0,20,30,0,0,0,0,30
  Central Prince RM (1103043) 00000 (  2.5%),90,0,40,25,20,0,200,0,20,35,60,80,75,0,0,20,0,40,50,0,0,0,0,25,40,0,0,0,0,25
  Northport RM (1103050) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Alberton T (1103052) 00000 (  3.1%),230,0,105,85,35,0,195,0,0,30,30,125,50,0,0,0,15,35,45,0,0,0,0,40,35,0,0,0,0,30
  St. Felix RM (1103053) 00000 (  0.0%),30,0,20,0,0,0,55,0,0,0,25,15,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
  Greenmount-Montrose RM (1103055) 00000 (  0.0%),20,0,0,0,0,0,40,0,0,0,20,0,20,0,0,0,15,0,20,0,0,0,0,15,0,0,0,0,0,0
  St. Louis RM (1103057) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Tignish T (1103059) 00000 (  3.4%),115,0,35,50,25,0,130,0,0,30,45,55,40,0,0,0,0,30,35,0,0,0,0,25,15,0,0,0,0,15
  Tignish Shore RM (1103060) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Tignish FD (1103061) 00000 (  1.7%),125,0,105,20,0,0,290,0,45,65,85,95,90,0,0,15,20,50,125,0,0,0,40,85,60,0,0,0,0,45
  Miminegash RM (1103062) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Miminegash FD (1103063) 00000 (  2.7%),105,0,40,40,20,0,180,0,0,75,70,40,90,0,0,20,20,55,60,0,0,0,0,45,10,0,0,0,0,10
  Alberton FD (1103064) 00000 (  5.0%),210,15,85,70,30,0,355,0,40,90,125,100,120,0,0,20,20,75,135,0,0,0,30,90,65,0,0,0,20,45
  O'Leary FD (1103065) 00000 (  2.6%),230,15,80,80,40,0,440,0,25,100,145,160,135,0,0,25,35,75,90,0,0,0,0,75,110,0,0,0,45,70
  West Point FD (1103066) 00919 ( 13.6%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"  Kensington, Part 1 FD (1103067) 00000 (  3.5%)",245,15,130,55,40,0,500,0,55,120,165,155,195,0,0,20,45,130,160,0,0,0,35,115,95,0,0,0,25,55
  Victoria FD (1103068) 00909 (  0.0%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Nova Scotia (12) 00000 (  3.8%),124730,7105,51160,34685,20850,10920,162690,575,13150,35005,45435,68520,59975,100,2360,7200,13605,36700,44455,30,925,2890,6960,33650,21465,0,325,1330,3255,16550
  Barrington MD (1201001) 00000 (  2.4%),930,50,405,265,95,115,1260,0,125,305,365,460,430,0,0,60,75,285,240,0,0,0,20,215,125,0,0,0,0,115
  Clark's Harbour T (1201004) 00000 (  3.3%),125,0,45,35,35,0,165,0,0,25,50,80,30,0,0,0,0,25,25,0,0,0,0,10,15,0,0,0,0,15
  Shelburne MD (1201006) 00000 (  5.8%),630,30,260,190,100,55,920,0,55,205,225,440,225,0,0,30,55,135,185,0,0,15,35,135,60,0,0,0,0,50
  Shelburne T (1201008) 00000 (  5.4%),260,15,80,90,55,20,340,0,15,90,75,165,100,0,0,0,0,65,35,0,0,0,0,25,40,0,0,0,0,35
  Lockeport T (1201009) 00000 (  3.4%),95,0,15,50,0,0,80,0,0,0,25,45,35,0,0,0,0,35,20,0,0,0,0,20,0,0,0,0,0,0
  Argyle MD (1202001) 00000 (  2.5%),845,40,420,230,95,60,1560,0,160,385,435,575,495,0,25,50,80,345,380,0,0,0,55,310,140,0,0,0,25,105
  Yarmouth MD (1202004) 00000 (  3.7%),1230,70,530,355,175,105,1840,0,180,420,520,720,590,0,0,70,110,400,465,0,0,20,95,335,235,0,0,0,40,175
  Yarmouth T (1202006) 00000 (  4.6%),1310,15,550,375,245,120,1065,0,75,165,260,565,440,0,0,35,80,330,275,0,0,0,35,230,130,0,0,0,0,115
  Clare MD (1203001) 00000 (  5.2%),1075,55,445,295,175,95,1640,0,75,440,460,655,495,0,0,50,120,320,275,0,0,15,50,210,105,0,0,0,15,80
  Digby MD (1203004) 00000 (  5.0%),1100,35,440,350,170,110,1440,0,40,365,375,660,410,0,0,45,105,250,245,0,0,25,0,205,160,0,0,0,30,125
  Digby T (1203006) 00000 (  5.2%),470,0,180,160,65,50,350,0,0,45,70,225,120,0,0,0,0,90,60,0,0,0,0,50,15,0,0,0,0,15
  Queens RGM (1204010) 00000 (  9.0%),1615,95,655,490,220,155,2160,20,110,440,660,930,600,0,15,50,125,410,380,0,0,25,50,305,160,0,0,0,35,115
"  Annapolis, Subd. D SC (1205001) 00000 (  4.1%)",305,35,105,70,80,0,650,0,65,170,180,240,220,0,0,25,50,130,110,0,0,0,30,75,50,0,0,0,0,50
"  Annapolis, Subd. A SC (1205004) 00000 (  4.9%)",930,35,390,225,200,80,1250,0,60,255,365,555,320,0,0,40,80,200,200,0,0,0,45,145,100,0,0,0,0,95
  Annapolis Royal T (1205008) 00000 (  6.6%),165,0,65,45,30,35,130,0,0,0,40,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Annapolis, Subd. B SC (1205009) 00000 (  4.6%)",645,20,310,155,90,70,855,0,45,215,200,395,240,0,15,15,60,150,150,0,0,15,30,105,105,0,0,0,0,85
"  Annapolis, Subd. C SC (1205014) 00000 (  1.7%)",630,50,230,175,130,50,945,0,90,220,250,375,320,0,0,30,90,190,215,0,0,0,40,160,130,0,0,0,30,100
  Middleton T (1205016) 00000 (  4.3%),365,0,140,90,80,45,315,0,30,45,85,155,90,0,0,0,15,60,75,0,0,0,0,70,45,0,0,0,0,35
  Lunenburg MD (1206001) 00000 (  4.4%),2855,110,1335,730,410,275,5310,30,415,1290,1435,2135,1540,0,20,200,340,975,1065,0,15,65,200,785,490,0,0,20,105,360
  Bridgewater T (1206004) 00000 (  4.2%),1585,55,640,375,295,220,1625,0,90,350,435,755,495,0,15,45,70,365,320,0,0,15,40,265,140,0,0,0,25,115
  Lunenburg T (1206006) 00000 (  4.7%),385,0,195,90,75,20,435,0,20,80,105,225,140,0,0,15,20,100,75,0,0,0,15,55,35,0,0,0,0,30
  Mahone Bay T (1206008) 00000 (  3.0%),220,0,85,50,35,40,195,0,0,30,50,110,50,0,0,0,0,30,50,0,0,0,0,30,0,0,0,0,0,0
  Chester MD (1206009) 00000 (  7.1%),1545,100,660,425,205,155,2175,0,125,520,570,955,625,0,30,55,145,395,425,0,0,25,55,340,165,0,0,0,20,130
"  Kings, Subd. A SC (1207001) 00000 (  3.7%)",2400,165,975,700,410,145,3845,20,385,835,1115,1495,1280,0,60,175,325,715,1050,0,20,60,190,775,620,0,0,65,135,425
  Berwick T (1207004) 00000 (  1.1%),375,45,140,105,35,45,420,0,20,90,115,195,100,0,0,15,15,75,100,0,0,0,25,80,40,0,0,0,0,35
"  Kings, Subd. C SC (1207011) 00000 (  1.6%)",1170,85,510,315,170,85,1485,0,75,380,395,630,525,0,20,80,120,310,380,0,0,15,70,290,180,0,0,0,40,130
  Kentville T (1207012) 00000 (  2.1%),1005,95,385,230,200,90,1065,0,85,210,290,470,390,0,0,50,85,240,325,0,0,20,50,255,115,0,0,0,0,110
"  Kings, Subd. B SC (1207016) 00000 (  2.1%)",1325,95,565,380,175,105,2120,0,190,480,630,815,785,0,30,100,195,465,515,0,0,55,100,360,290,0,0,25,45,210
"  Kings, Subd. D SC (1207021) 00000 (  2.0%)",550,45,255,150,70,25,1010,0,90,230,310,370,300,0,0,40,75,175,205,0,0,30,60,110,140,0,0,0,15,115
  Wolfville T (1207024) 00000 (  4.1%),925,40,315,275,180,115,880,0,45,160,210,465,265,0,0,35,60,165,180,0,0,20,0,155,95,0,0,0,0,80
  West Hants RM (1208003) 00000 (  3.6%),2240,135,985,555,370,205,3345,0,405,800,920,1210,1145,0,30,140,265,710,975,0,0,55,205,705,450,0,0,0,90,340
  East Hants MD (1208008) 00000 (  3.2%),2125,160,980,590,275,120,3640,20,475,905,1065,1175,1535,0,90,175,415,850,1280,0,40,70,230,935,595,0,15,30,120,430
  Halifax RGM (1209034) 00000 (  3.6%),53565,3155,20800,15450,9755,4405,69895,310,6400,14320,19675,29190,28505,65,1400,3545,6580,16910,22420,15,570,1605,3495,16745,10470,0,215,900,1530,7815
"  Colchester, Subd. C SC (1210001) 00000 (  1.7%)",1315,110,620,330,175,85,2195,0,195,510,675,800,805,0,15,115,240,430,610,0,0,35,115,445,305,0,0,25,80,200
  Stewiacke T (1210002) 00000 (  2.3%),235,0,110,70,30,0,275,0,0,85,75,110,95,0,0,0,0,75,65,0,0,0,0,50,40,0,0,0,0,40
  Truro T (1210006) 00000 (  2.3%),2590,60,995,745,460,325,2160,0,115,400,545,1105,725,0,20,35,175,495,455,0,10,0,45,390,230,0,0,0,20,195
"  Colchester, Subd. B SC (1210008) 00000 (  2.9%)",2355,90,1090,655,345,180,3595,0,315,840,1055,1380,1175,0,50,115,225,790,950,0,0,50,140,755,440,0,15,15,90,310
"  Colchester, Subd. A SC (1210012) 00000 (  6.3%)",445,25,210,125,55,40,670,0,35,175,190,265,205,0,0,35,35,130,150,0,0,0,20,130,95,0,0,0,0,80
"  Cumberland, Subd. A SC (1211001) 00000 (  4.8%)",560,20,285,95,100,55,630,0,50,130,180,280,205,0,0,0,35,165,90,0,0,0,0,60,50,0,0,0,0,40
"  Cumberland, Subd. B SC (1211006) 00000 (  3.9%)",980,25,425,270,165,95,1160,0,65,245,300,550,375,0,0,30,110,225,270,0,0,0,55,190,120,0,0,0,0,100
"  Cumberland, Subd. C SC (1211009) 00000 (  7.8%)",670,45,275,175,115,60,1075,0,95,255,275,445,325,0,0,40,85,195,220,0,0,0,25,190,135,0,0,0,20,120
  Amherst T (1211011) 00000 (  3.2%),1600,55,700,410,260,175,1675,0,90,285,450,845,565,0,25,70,100,365,385,0,0,20,75,280,175,0,0,0,25,140
  Oxford T (1211012) 00000 (  4.6%),200,0,95,55,35,0,180,0,25,0,45,100,70,0,0,0,0,55,30,0,0,0,0,25,40,0,0,0,0,30
"  Cumberland, Subd. D SC (1211014) 00000 (  7.9%)",590,0,245,170,90,70,945,0,25,230,280,395,220,0,0,20,50,140,135,0,0,20,20,90,55,0,0,0,0,35
"  Pictou, Subd. A SC (1212001) 00000 (  5.3%)",765,60,335,180,135,50,1215,0,130,255,350,480,360,0,0,40,100,205,260,0,0,0,65,185,125,0,0,0,25,95
  Pictou T (1212004) 00000 (  5.0%),540,0,250,140,100,45,540,0,15,80,150,295,170,0,0,35,30,100,125,0,0,0,30,100,55,0,0,0,0,45
"  Pictou, Subd. B SC (1212006) 00000 (  1.8%)",735,55,330,140,145,65,1015,0,65,240,310,395,400,0,0,25,105,265,255,0,0,15,50,190,140,0,0,15,35,85
  Westville T (1212008) 00000 (  2.8%),485,15,215,125,75,50,580,0,30,145,175,230,235,0,0,35,50,140,165,0,0,0,40,100,90,0,0,0,0,75
  Stellarton T (1212009) 00000 (  3.8%),695,15,265,225,105,80,630,0,25,145,170,290,275,0,0,20,50,190,185,0,0,0,0,150,90,0,0,0,0,90
"  Pictou, Subd. C SC (1212011) 00000 (  4.9%)",990,55,460,255,140,80,1595,0,135,355,465,635,510,0,0,70,135,290,380,0,0,20,70,295,185,0,0,0,50,135
  New Glasgow T (1212014) 00000 (  2.4%),1695,115,635,450,305,185,1445,0,70,245,365,765,590,0,0,60,150,375,405,0,0,25,60,300,190,0,0,0,20,165
  Trenton T (1212016) 00000 (  8.9%),335,25,110,105,85,20,445,0,35,85,145,180,145,0,0,0,30,105,100,0,0,0,0,90,50,0,0,0,0,45
  St. Mary's MD (1213001) 00000 (  6.3%),400,20,180,115,50,35,395,0,20,75,115,180,100,0,0,0,25,65,110,0,0,0,0,105,30,0,0,0,0,30
  Guysborough MD (1213004) 00000 (  6.2%),710,20,340,145,115,80,1045,0,35,275,235,500,250,0,0,40,45,165,130,0,0,0,0,120,80,0,0,0,0,65
  Mulgrave T (1213008) 00000 (  2.7%),75,0,40,20,0,0,145,0,0,35,45,40,40,0,0,0,0,30,20,0,0,0,0,20,15,0,0,0,0,0
"  Antigonish, Subd. A SC (1214001) 00000 (  3.4%)",1000,55,410,305,145,75,1440,0,145,340,390,555,500,0,20,85,135,255,475,0,0,25,95,345,260,0,0,0,45,200
  Antigonish T (1214002) 00000 (  6.9%),890,0,350,270,155,110,700,0,55,100,150,395,235,0,0,0,45,165,140,0,0,0,0,115,135,0,0,0,0,115
"  Antigonish, Subd. B SC (1214006) 00000 (  2.1%)",675,30,340,195,55,60,1025,0,145,235,310,330,375,0,0,25,120,225,320,0,0,25,25,270,170,0,0,15,25,135
"  Inverness, Subd. C SC (1215001) 00000 (  6.6%)",420,25,165,140,65,35,630,0,50,135,175,260,155,0,0,20,30,100,120,0,0,15,0,105,80,0,0,0,0,70
  Port Hawkesbury T (1215002) 00000 (  2.3%),450,25,200,125,70,30,485,0,35,80,155,210,240,0,0,50,55,135,125,0,0,15,0,95,85,0,0,0,0,70
"  Inverness, Subd. B SC (1215006) 00000 (  6.0%)",710,50,285,185,120,70,815,0,50,165,220,385,265,0,20,35,50,165,215,0,0,20,20,165,110,0,0,0,0,95
"  Inverness, Subd. A SC (1215011) 00000 (  9.3%)",770,40,345,245,80,65,1035,0,70,245,300,430,260,0,0,25,55,180,220,0,0,0,0,180,90,0,0,0,0,75
"  Richmond, Subd. C SC (1216001) 00000 (  4.6%)",430,45,190,85,70,40,655,0,25,180,190,255,180,0,0,15,60,110,125,0,0,0,0,115,55,0,0,0,0,50
"  Richmond, Subd. A SC (1216006) 00000 (  5.1%)",595,15,235,195,100,45,660,0,35,120,165,340,220,0,0,0,55,145,175,0,0,0,0,145,65,0,0,0,0,65
"  Richmond, Subd. B SC (1216011) 00000 (  8.3%)",245,40,90,50,30,30,335,0,0,90,90,145,90,0,0,0,0,65,60,0,0,0,0,50,30,0,0,0,0,30
  Cape Breton RGM (1217030) 00000 (  3.0%),13630,1000,5815,3560,2025,1235,15640,30,895,3435,4370,6905,6380,0,215,810,1370,3985,4000,0,60,210,565,3165,2020,0,20,60,240,1705
"  Victoria, Subd. B SC (1218001) 00000 (  6.9%)",585,45,210,195,100,35,780,0,55,160,215,350,185,0,0,0,45,130,170,0,0,20,35,115,100,0,0,0,15,75
"  Victoria, Subd. A SC (1218006) 00000 (  7.2%)",370,25,210,75,45,0,500,0,30,115,165,185,195,0,0,20,40,135,75,0,0,0,25,55,65,0,0,0,15,45
  New Brunswick (13) 00000 (  4.2%),96165,5825,39615,27850,15310,7570,130850,665,10485,29605,38500,51595,48375,60,1915,5220,11435,29735,36430,25,715,2250,6105,27330,16870,20,270,1060,2840,12685
  Saint Martins P (1301001) 00000 (  5.9%),125,0,50,30,20,0,260,0,0,65,75,105,80,0,0,0,40,35,45,0,0,0,0,25,40,0,0,0,0,40
  St. Martins VL (1301002) 01019 ( 13.5%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Simonds P (1301004) 00000 (  3.5%),320,0,125,105,45,25,635,0,65,190,175,205,270,0,0,55,65,135,260,0,0,30,60,165,75,0,0,0,25,45
  Saint John C (1301006) 00000 (  6.0%),11025,755,4090,3035,1950,1190,11225,100,780,2200,3060,5085,4495,0,135,470,1020,2860,2850,0,55,225,410,2155,1625,0,15,110,290,1210
  Musquash P (1301016) 00000 (  6.2%),125,0,35,50,30,0,235,0,30,50,60,90,75,0,0,0,20,35,40,0,0,0,0,30,50,0,0,0,0,40
  Grand Manan P (1302001) 01929 ( 22.2%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Campobello Island RCR (1302004) 00010 ( 10.5%),120,20,55,35,0,0,195,0,20,25,90,60,35,0,0,0,0,25,40,0,0,0,0,30,30,0,0,0,0,30
  West Isles P (1302006) 00000 (  5.7%),140,0,80,20,20,0,110,0,0,25,30,55,35,0,0,0,0,20,45,0,0,0,0,45,20,0,0,0,0,15
  Lepreau P (1302008) 01000 (  8.2%),130,0,35,40,35,0,165,0,0,35,45,75,50,0,0,0,0,35,0,0,0,0,0,0,30,0,0,0,0,30
  Pennfield P (1302011) 00000 (  2.5%),255,30,105,75,35,15,375,0,25,110,80,150,150,0,0,0,25,110,90,0,0,0,0,75,70,0,0,15,0,50
  Blacks Harbour VL (1302012) 00000 (  2.2%),110,0,40,35,30,0,140,0,0,30,60,35,40,0,0,0,0,20,45,0,0,0,0,40,40,0,0,0,0,30
  Clarendon P (1302014) 01909 (  7.7%),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
  Saint George P (1302016) 00000 (  4.5%),235,0,85,105,20,25,435,0,45,95,160,120,175,0,0,20,40,105,160,0,0,0,35,105,40,0,0,0,0,30
  St. George TV (1302018) 00000 (  2.8%),230,0,105,60,50,0,250,0,20,35,105,90,95,0,0,0,25,55,75,0,0,0,25,50,45,0,0,0,0,35
  Saint Patrick P (1302021) 00000 (  5.5%),85,0,50,0,0,0,150,0,15,30,45,65,50,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
  Saint Andrews P (1302024) 00000 (  2.7%),65,0,20,20,0,0,160,0,0,45,45,55,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
  Saint Andrews TV (1302026) 00000 (  4.5%),320,20,140,85,55,20,410,0,20,75,105,205,65,0,0,0,30,20,75,0,0,0,0,50,40,0,0,0,0,35
  Saint Croix P (1302028) 00000 (  6.2%),70,0,25,0,20,0,95,0,15,20,45,20,30,0,0,0,20,0,40,0,0,0,0,25,25,0,0,0,0,15
  Dufferin P (1302031) 00000 (  5.0%),50,0,0,20,0,0,90,0,0,20,30,30,35,0,0,0,0,0,35,0,0,0,0,30,0,0,0,0,0,0
  Saint Stephen P (1302034) 00000 (  1.1%),185,0,110,25,40,0,270,0,20,60,85,100,115,0,0,0,30,75,95,0,0,0,15,75,40,0,0,0,0,25
  St. Stephen TV (1302037) 00000 (  1.6%),780,45,255,220,155,100,680,0,30,165,180,305,305,0,15,40,50,205,160,0,0,0,40,120,105,0,0,0,0,95
  Saint James P (1302039) 00000 (  4.4%),110,15,50,30,0,0,210,0,0,55,85,55,50,0,0,0,0,30,45,0,0,0,0,40,30,0,0,0,0,25
