,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing,    Not subsidized housing
Hinchinbrooke MÉ (2469045) 00000 (  7.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,145,25,0,0,0,40,40,25,45,45,0,40,40,0,20,20,0
Elgin MÉ (2469050) 00000 (  8.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntingdon V (2469055) 00000 (  8.6%),50,50,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,400,395,110,0,0,0,135,135,85,105,105,15,75,75,0,70,70,0
Godmanchester CT (2469060) 00000 (  7.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,25,0,0,0,35,35,25,15,15,0,20,20,0,0,0,0
Sainte-Barbe MÉ (2469065) 00000 (  7.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
Saint-Anicet MÉ (2469070) 00000 (  5.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,150,20,0,0,0,45,45,15,50,50,0,15,15,0,35,35,0
Dundee CT (2469075) 00000 (  8.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Urbain-Premier MÉ (2470005) 00000 (  1.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,0,0,0,0,35,35,0,25,25,0,20,20,0,0,0,0
Sainte-Martine MÉ (2470012) 00000 (  1.4%),30,30,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,660,655,95,65,55,40,185,185,50,190,190,0,155,155,0,70,70,0
Beauharnois V (2470022) 00000 (  3.0%),185,185,35,0,0,0,135,135,35,35,35,0,0,0,0,0,0,0,1895,1835,420,115,65,60,505,505,320,530,530,45,430,430,0,310,310,0
Saint-Étienne-de-Beauharnois MÉ (2470030) 00000 (  1.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Saint-Louis-de-Gonzague PE (2470035) 00000 (  4.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,15,15,0,25,25,0,20,20,0,15,15,0,0,0,0
Saint-Stanislas-de-Kostka MÉ (2470040) 00000 (  4.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,15,15,0,40,40,0,20,20,0,20,20,0
Salaberry-de-Valleyfield V (2470052) 00000 (  4.4%),610,600,170,65,55,55,415,410,115,75,75,0,35,35,0,20,20,0,7310,7155,1590,445,300,285,2305,2290,1210,1845,1840,95,1530,1530,0,1185,1185,0
Rivière-Beaudette MÉ (2471005) 00000 (  7.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,30,30,0,20,20,0,0,0,0,0,0,0
Saint-Télesphore MÉ (2471015) 00000 (  9.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Polycarpe MÉ (2471020) 00000 (  0.7%),25,25,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,175,170,45,0,0,0,45,45,25,60,60,0,40,40,0,25,25,0
Saint-Zotique MÉ (2471025) 00000 (  3.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,595,100,25,15,15,225,220,85,190,190,0,115,115,0,60,60,0
Les Coteaux MÉ (2471033) 00000 (  2.0%),30,30,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,660,650,90,30,25,20,180,180,60,220,220,0,145,145,0,80,80,0
Coteau-du-Lac V (2471040) 00000 (  1.5%),25,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,540,535,85,25,15,15,180,180,65,215,215,0,90,90,0,35,35,0
Saint-Clet MÉ (2471045) 00000 (  2.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,160,25,0,0,0,40,40,20,45,45,0,40,40,0,35,35,0
Les Cèdres MÉ (2471050) 00000 (  1.3%),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,250,25,25,0,0,70,70,25,115,115,0,40,40,0,10,10,0
Pointe-des-Cascades VL (2471055) 00000 (  5.6%),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,150,30,30,0,0,35,35,0,50,50,0,40,40,0,0,0,0
L'Île-Perrot V (2471060) 00000 (  3.4%),50,50,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,1450,310,105,65,60,425,425,240,475,475,15,320,320,0,165,165,0
Notre-Dame-de-l'Île-Perrot V (2471065) 00000 (  2.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,160,20,35,25,20,65,65,0,35,35,0,15,15,0,15,15,0
Pincourt V (2471070) 00000 (  0.7%),45,45,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,610,595,140,60,45,30,245,245,110,145,145,0,110,110,0,60,60,0
Terrasse-Vaudreuil MÉ (2471075) 00000 (  0.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,185,40,20,20,20,40,40,20,55,55,0,25,25,0,50,50,0
Vaudreuil-Dorion V (2471083) 00000 (  2.7%),100,100,25,0,0,0,85,85,20,0,0,0,0,0,0,0,0,0,2955,2870,515,225,145,140,1005,1005,380,795,795,0,595,595,0,325,325,0
Vaudreuil-sur-le-Lac VL (2471090) 00000 (  4.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson V (2471100) 00000 (  1.7%),60,60,20,0,0,0,55,55,15,0,0,0,0,0,0,0,0,0,255,215,50,60,25,25,85,85,25,50,50,0,35,35,0,25,25,0
Saint-Lazare V (2471105) 00000 (  2.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,485,110,90,85,75,200,195,35,95,95,0,75,75,0,30,30,0
Sainte-Marthe MÉ (2471110) 00000 (  2.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
Sainte-Justine-de-Newton MÉ (2471115) 00000 (  6.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Très-Saint-Rédempteur MÉ (2471125) 00000 (  7.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rigaud V (2471133) 00000 (  6.6%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,660,80,45,30,25,240,235,55,190,190,0,125,125,0,75,75,0
Pointe-Fortune VL (2471140) 00000 (  6.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Eustache V (2472005) 00000 (  3.0%),690,630,155,95,65,40,430,400,115,110,110,0,30,30,0,20,20,0,4850,4720,1170,415,310,295,1655,1630,835,1380,1380,35,895,895,0,500,500,0
Deux-Montagnes V (2472010) 00000 (  2.3%),140,140,30,20,20,0,100,100,20,0,0,0,0,0,0,0,0,0,1845,1800,340,120,80,55,590,590,275,540,540,0,415,415,0,180,180,0
Sainte-Marthe-sur-le-Lac V (2472015) 00000 (  2.5%),20,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,545,525,100,55,35,30,225,225,70,135,135,0,90,90,0,45,45,0
Pointe-Calumet MÉ (2472020) 00000 (  3.0%),65,65,30,0,0,0,40,40,20,0,0,0,0,0,0,0,0,0,530,520,150,25,0,0,150,145,125,185,185,20,120,120,0,55,55,0
Saint-Joseph-du-Lac MÉ (2472025) 00000 (  2.7%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,450,445,60,20,15,15,150,150,45,125,125,0,115,115,0,40,40,0
Oka MÉ (2472032) 00000 (  3.1%),15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,235,210,55,60,40,40,50,50,20,45,45,0,60,60,0,20,20,0
Saint-Placide MÉ (2472043) 00000 (  5.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,190,35,15,0,0,30,30,0,55,55,0,50,50,0,45,45,0
Boisbriand V (2473005) 00000 (  3.1%),190,180,30,20,15,0,90,90,20,20,20,0,50,50,0,0,0,0,3085,3030,500,200,145,125,910,910,365,990,990,15,605,605,0,380,380,0
Sainte-Thérèse V (2473010) 00000 (  4.1%),335,330,100,45,30,25,200,200,80,45,45,0,40,40,0,0,0,0,5910,5745,1285,275,135,135,1445,1425,1075,1450,1450,80,1450,1450,0,1285,1285,0
Blainville V (2473015) 00000 (  2.8%),210,210,45,60,60,25,115,115,20,20,20,0,0,0,0,0,0,0,3715,3575,555,345,235,200,1340,1310,355,1105,1105,0,670,670,0,255,255,0
Rosemère V (2473020) 00000 (  2.9%),65,65,0,30,30,0,35,35,0,0,0,0,0,0,0,0,0,0,545,525,70,100,75,40,225,225,30,125,125,0,55,55,0,45,45,0
Lorraine V (2473025) 00000 (  3.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,110,0,20,0,0,45,45,0,40,40,0,0,0,0,0,0,0
Bois-des-Filion V (2473030) 00000 (  5.1%),75,75,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,940,905,145,50,20,0,270,265,130,255,255,0,240,240,0,115,115,0
Sainte-Anne-des-Plaines V (2473035) 00000 (  4.3%),60,60,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,1260,1230,195,60,40,40,345,340,145,465,465,10,270,270,0,115,115,0
Mirabel V (2474005) 00000 (  2.8%),185,185,50,35,35,25,130,130,25,0,0,0,0,0,0,0,0,0,5535,5415,835,365,250,225,1640,1635,605,1800,1800,0,1185,1185,0,545,545,0
Saint-Colomban V (2475005) 00000 (  3.2%),30,30,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,690,665,110,75,50,40,245,245,70,220,220,0,100,100,0,50,50,0
Saint-Jérôme V (2475017) 00000 (  4.5%),1050,1025,380,80,70,50,680,665,310,170,170,20,85,85,0,35,35,0,14185,13780,3990,810,485,440,4305,4220,3175,3495,3495,375,3240,3240,0,2335,2335,0
Sainte-Sophie MÉ (2475028) 00000 (  4.3%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,1110,180,95,55,45,325,315,135,320,320,0,260,260,0,150,150,0
Prévost V (2475040) 00000 (  5.6%),20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,650,145,50,35,30,280,270,110,200,200,0,90,90,0,45,45,0
Saint-Hippolyte MÉ (2475045) 00000 (  6.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,555,105,60,35,25,190,185,75,145,145,0,95,95,0,90,90,0
Saint-André-d'Argenteuil MÉ (2476008) 00000 (  4.3%),25,25,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,255,245,35,25,20,0,75,75,15,40,40,0,45,45,0,70,70,0
Lachute V (2476020) 00000 (  5.4%),395,390,55,15,0,0,230,230,45,90,90,0,50,50,0,0,0,0,2485,2410,460,75,35,35,750,720,355,590,580,70,590,590,0,485,485,0
Gore CT (2476025) 00000 (  5.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,30,0,0,0,25,25,15,25,25,0,30,30,0,0,0,0
Mille-Isles MÉ (2476030) 00001 (  7.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,20,0,0,0,0,0,0,15,15,0,35,35,0,15,15,0
Wentworth CT (2476035) 00000 (  4.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brownsburg-Chatham V (2476043) 00000 (  4.6%),30,30,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,735,715,185,65,50,40,245,240,135,195,195,0,120,120,0,110,110,0
Grenville-sur-la-Rouge MÉ (2476052) 00000 (  7.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,145,40,0,0,0,30,30,25,40,40,0,45,45,0,25,25,0
Grenville VL (2476055) 00000 (  4.7%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,300,60,0,0,0,80,80,45,105,105,0,60,60,0,60,60,0
Harrington CT (2476065) 00011 ( 13.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainte-Marguerite-du-Lac-Masson V (2477012) 00000 (  9.2%),30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,250,30,0,0,0,95,95,25,50,50,0,70,70,0,35,35,0
Sainte-Adèle V (2477022) 00000 (  4.8%),115,115,35,15,15,15,85,85,15,15,15,0,0,0,0,0,0,0,1845,1775,465,120,65,55,660,640,390,420,420,25,335,335,0,310,310,0
Piedmont MÉ (2477030) 00000 (  4.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,315,75,45,15,0,90,85,55,105,105,0,80,80,0,35,35,0
Sainte-Anne-des-Lacs PE (2477035) 00000 (  4.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,185,50,20,0,0,85,85,45,45,45,0,35,35,0,0,0,0
Saint-Sauveur V (2477043) 00000 (  6.5%),55,50,0,0,0,0,30,25,0,20,20,0,0,0,0,0,0,0,1450,1360,355,100,35,30,455,430,300,385,375,25,295,295,0,225,225,0
Morin-Heights MÉ (2477050) 00000 (  9.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,300,100,40,25,0,160,160,85,55,55,0,30,30,0,30,30,0
Wentworth-Nord MÉ (2477060) 00011 ( 14.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,20,20,0,15,15,0,0,0,0,0,0,0
Saint-Adolphe-d'Howard MÉ (2477065) 00011 ( 13.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,215,35,25,0,0,85,85,35,30,30,0,40,40,0,55,55,0
Val-Morin MÉ (2478005) 00000 (  5.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,190,30,20,0,0,70,65,20,40,40,0,40,40,0,35,35,0
Val-David VL (2478010) 00000 (  4.2%),40,40,15,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,535,515,165,40,25,25,165,155,110,135,135,30,100,100,0,105,105,0
Lantier MÉ (2478015) 00111 ( 11.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,25,0,0,0,20,20,15,15,15,0,0,0,0,0,0,0
Sainte-Lucie-des-Laurentides MÉ (2478020) 00000 (  9.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,0,0,0,0,0,0,10,10,10,25,25,0,0,0,0
Sainte-Agathe-des-Monts V (2478032) 00000 (  6.0%),120,120,25,0,0,0,80,80,25,25,25,0,0,0,0,0,0,0,1785,1740,445,50,20,20,630,610,375,445,445,45,375,375,0,295,295,0
Ivry-sur-le-Lac MÉ (2478042) 00000 (  5.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,20,20,0,15,15,0,0,0,0
Saint-Faustin--Lac-Carré MÉ (2478047) 00000 (  9.7%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,375,70,40,25,25,105,105,45,95,95,0,105,105,0,50,50,0
Montcalm MÉ (2478055) 00000 (  9.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arundel CT (2478060) 00011 ( 13.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0
Huberdeau MÉ (2478065) 00000 (  9.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,45,0,0,0,40,40,25,30,30,20,0,0,0,0,0,0
Amherst CT (2478070) 00010 ( 11.3%),20,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,125,115,75,0,0,0,45,45,45,30,30,25,20,20,0,15,15,0
Brébeuf PE (2478075) 00011 ( 11.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,0,0,0,0,0,0,0,20,20,0,45,45,0,45,45,0
Lac-Supérieur MÉ (2478095) 00000 (  6.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,130,30,0,0,0,40,40,30,25,25,0,45,45,0,15,15,0
Val-des-Lacs MÉ (2478100) 00011 ( 12.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,35,0,0,0,25,25,25,0,0,0,0,0,0,20,20,0
Mont-Tremblant V (2478102) 00000 (  3.3%),125,125,25,0,0,0,80,80,20,20,20,0,0,0,0,0,0,0,1530,1485,270,105,65,60,395,390,205,380,380,0,315,315,0,330,330,0
La Conception MÉ (2478115) 00010 ( 10.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,55,0,0,0,65,65,50,35,35,0,20,20,0,15,15,0
Labelle MÉ (2478120) 00000 (  6.7%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,255,100,0,0,0,100,100,75,80,80,20,50,50,0,25,25,0
La Minerve MÉ (2478130) 00000 (  6.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,70,0,0,0,0,0,0,0,30,30,0,30,30,0,0,0,0
Notre-Dame-du-Laus MÉ (2479005) 00000 (  6.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,60,0,0,0,70,70,45,35,35,0,15,15,0,45,45,0
Notre-Dame-de-Pontmain MÉ (2479010) 00011 ( 17.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac-du-Cerf MÉ (2479015) 00000 (  7.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Saint-Aimé-du-Lac-des-Îles MÉ (2479022) 00000 (  5.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,20,20,0,0,0,0,20,20,0,0,0,0
Kiamika MÉ (2479025) 00011 ( 11.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,20,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0
Nominingue MÉ (2479030) 00000 (  7.1%),20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,165,45,20,15,15,50,40,20,40,40,0,40,40,0,25,25,0
Rivière-Rouge V (2479037) 00000 (  9.2%),85,85,25,0,0,0,60,60,20,20,20,0,0,0,0,0,0,0,545,525,110,45,20,20,160,155,90,135,135,0,100,100,0,115,115,0
La Macaza MÉ (2479047) 02100 (  6.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
L'Ascension MÉ (2479050) 00010 ( 10.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,20,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0
Lac-Saguay VL (2479060) 00000 (  8.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chute-Saint-Philippe MÉ (2479065) 00000 (  8.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,25,0,0,0,0,0,0,25,25,15,0,0,0,0,0,0
Lac-des-Écorces MÉ (2479078) 00011 ( 11.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275,45,0,0,0,100,100,45,60,60,0,65,65,0,50,50,0
Mont-Laurier V (2479088) 00000 (  4.3%),225,225,50,0,0,0,145,145,40,65,65,0,0,0,0,0,0,0,2115,2080,340,80,50,45,730,725,285,510,510,0,420,420,0,380,380,0
Ferme-Neuve MÉ (2479097) 00000 (  8.3%),40,40,15,0,0,0,40,40,15,0,0,0,0,0,0,0,0,0,280,280,50,15,15,15,75,75,35,75,75,0,50,50,0,65,65,0
Lac-Saint-Paul MÉ (2479105) 00000 (  9.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mont-Saint-Michel MÉ (2479110) 00000 (  9.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainte-Anne-du-Lac MÉ (2479115) 00010 ( 12.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,55,20,0,0,0,20,20,20,0,0,0,15,15,0,0,0,0
Fassett MÉ (2480005) 00000 (  7.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Montebello MÉ (2480010) 00000 (  4.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,45,0,0,0,45,45,25,30,30,0,35,35,0,0,0,0
Notre-Dame-de-Bonsecours MÉ (2480015) 00010 ( 10.5%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notre-Dame-de-la-Paix MÉ (2480020) 00000 (  6.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0,0,30,30,0,15,15,0,0,0,0
Saint-André-Avellin MÉ (2480027) 00000 (  4.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,430,80,0,0,0,145,140,70,115,115,0,115,115,0,50,50,0
Papineauville MÉ (2480037) 00000 (  5.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,220,75,20,0,0,80,80,50,50,50,0,40,40,0,30,30,0
Plaisance MÉ (2480045) 00000 (  3.6%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,100,35,0,0,0,35,30,30,35,35,0,10,10,0,15,15,0
Thurso V (2480050) 00000 (  0.9%),25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,385,135,20,15,15,135,130,105,85,85,10,85,85,0,70,70,0
Lochaber CT (2480055) 00000 (  0.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lochaber-Partie-Ouest CT (2480060) 00000 (  1.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,10,0,0,0,15,15,0,20,20,0,0,0,0,0,0,0
Mayo MÉ (2480065) 00000 (  2.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Sixte MÉ (2480070) 00000 (  3.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
Ripon MÉ (2480078) 00000 (  7.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,40,20,0,0,35,35,20,20,20,0,20,20,0,0,0,0
Mulgrave-et-Derry MÉ (2480085) 00001 (  7.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montpellier MÉ (2480090) 00010 ( 10.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
Lac-Simon MÉ (2480095) 00000 (  9.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,20,0,0,0,20,20,15,0,0,0,0,0,0,0,0,0
Chénéville MÉ (2480103) 00000 (  4.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,95,25,0,0,0,25,25,15,20,20,0,35,35,0,20,20,0
Namur MÉ (2480110) 00000 (  6.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boileau MÉ (2480115) 00000 (  4.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Émile-de-Suffolk MÉ (2480125) 00000 (  8.1%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,25,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0
Lac-des-Plages MÉ (2480130) 00000 (  6.3%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duhamel MÉ (2480135) 00000 (  8.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Val-des-Bois MÉ (2480140) 00011 ( 16.9%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,15,0,0,0,20,20,15,0,0,0,0,0,0,0,0,0
Bowman MÉ (2480145) 00011 ( 13.2%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gatineau V (2481017) 00000 (  3.9%),4800,4655,1245,1150,1075,495,2475,2405,715,710,710,30,340,340,0,125,125,0,39490,37370,7700,4060,2135,1755,11295,11105,5735,10970,10960,205,8150,8150,0,5030,5030,0
L'Ange-Gardien MÉ (2482005) 00000 (  1.4%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,0,0,0,0,60,60,0,50,50,0,0,0,0,0,0,0
Notre-Dame-de-la-Salette MÉ (2482010) 00011 ( 10.7%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0
